date,predicted_sales,predicted_revenue,avg_price
2019-10-31,6420.89046710733,139067.9046563855,21.65866329114268
2019-11-01,8592.289321984354,186097.50132493975,21.65866329114268
2019-11-02,8855.63928627949,191801.30952934254,21.65866329114268
2019-11-03,7399.937787659646,160272.76091832356,21.65866329114268
2019-11-04,6688.706014748519,144868.431426879,21.65866329114268
2019-11-05,6627.876975169127,143550.95574030536,21.65866329114268
2019-11-06,6511.562787111467,141031.74590518183,21.65866329114268
2019-11-07,6870.462704172248,148805.03836402035,21.65866329114268
2019-11-08,8951.123736046939,193869.37507639575,21.65866329114268
2019-11-09,8831.32244412485,191274.63923281134,21.65866329114268
2019-11-10,7554.909771183251,163629.2469290218,21.65866329114268
2019-11-11,6847.767946514209,148313.5002494308,21.65866329114268
2019-11-12,6620.585672849028,143393.0358784004,21.65866329114268
2019-11-13,6689.007590086757,144874.9631455868,21.65866329114268
2019-11-14,7096.622941288367,153703.36678956336,21.65866329114268
2019-11-15,8984.304766441212,194588.0318413585,21.65866329114268
2019-11-16,9103.76046747444,197175.28264824458,21.65866329114268
2019-11-17,7432.639195306335,160981.0296956896,21.65866329114268
2019-11-18,6896.882850731215,149377.26342244365,21.65866329114268
2019-11-19,6713.345308086352,145402.0855850148,21.65866329114268
2019-11-20,6759.238964167948,146396.0808292856,21.65866329114268
2019-11-21,7071.422843976136,153157.5663669737,21.65866329114268
2019-11-22,8964.426576759393,194157.4968242025,21.65866329114268
2019-11-23,9094.504085119841,196974.80177953225,21.65866329114268
2019-11-24,7536.704813612653,163234.95188277072,21.65866329114268
2019-11-25,6793.338826877199,147134.63827397945,21.65866329114268
2019-11-26,6597.952314627224,142902.82759352654,21.65866329114268
2019-11-27,6661.8046838135215,144285.7845580743,21.65866329114268
2019-11-28,7010.363525861841,151835.1031551494,21.65866329114268
2019-11-29,9018.279568938471,195323.8806490297,21.65866329114268
2019-11-30,9226.045773426495,199823.8189153145,21.65866329114268
2019-12-01,7537.423010256146,163250.50706204894,21.65866329114268
2019-12-02,6830.737442227103,147944.642291398,21.65866329114268
2019-12-03,6607.62461256068,143112.31663771888,21.65866329114268
2019-12-04,6710.92520038043,145349.66928708396,21.65866329114268
2019-12-05,7060.181710161459,152914.09843467094,21.65866329114268
2019-12-06,9161.720908597328,198430.62832673133,21.65866329114268
2019-12-07,9330.27134582243,202081.20549416466,21.65866329114268
2019-12-08,7687.006836546778,166490.29278947852,21.65866329114268
2019-12-09,6930.097523812541,150096.64884303746,21.65866329114268
2019-12-10,6661.023439735009,144268.86385562958,21.65866329114268
2019-12-11,6771.092492656786,146652.8124116373,21.65866329114268
2019-12-12,7046.172611032974,152610.68007363484,21.65866329114268
2019-12-13,8998.604397474552,194897.74273509716,21.65866329114268
2019-12-14,9297.985636748368,201381.94019221378,21.65866329114268
2019-12-15,7547.772763039701,163474.66887273453,21.65866329114268
2019-12-16,6935.04135465614,150203.72561064735,21.65866329114268
2019-12-17,6750.906070491322,146215.60149090269,21.65866329114268
2019-12-18,6891.091335386955,149251.82694165682,21.65866329114268
2019-12-19,7093.873743412955,153643.82283845908,21.65866329114268
2019-12-20,9202.603010523004,199316.0800069737,21.65866329114268
2019-12-21,9559.214748852346,207039.813573118,21.65866329114268
2019-12-22,7925.841410162307,171663.13040170088,21.65866329114268
2019-12-23,7034.760816609687,152363.51586067313,21.65866329114268
2019-12-24,6882.184375713421,149058.91410114,21.65866329114268
2019-12-25,7333.019614665207,158823.40274137855,21.65866329114268
2019-12-26,7551.910287499524,163564.28212186872,21.65866329114268
2019-12-27,9614.284335575821,208232.54720954414,21.65866329114268
2019-12-28,9993.450577846601,216444.78118225478,21.65866329114268
2019-12-29,8222.07337854897,178079.11886106007,21.65866329114268
2019-12-30,7054.625084887678,152793.74935883106,21.65866329114268
2019-12-31,6833.389525885392,148002.0828783728,21.65866329114268
2020-01-01,6968.680224897145,150932.29857469173,21.65866329114268
2020-01-02,7381.702741963587,159877.81420349402,21.65866329114268
2020-01-03,9259.887209415036,200556.77918267908,21.65866329114268
2020-01-04,9334.13064268068,202164.7927053581,21.65866329114268
2020-01-05,7920.586697741773,171549.32035469275,21.65866329114268
2020-01-06,6882.3337872297225,149062.15015486337,21.65866329114268
2020-01-07,6699.209253967622,145095.91754859188,21.65866329114268
2020-01-08,6839.643776123473,148137.54157841796,21.65866329114268
2020-01-09,7112.794453957277,154053.62013736772,21.65866329114268
2020-01-10,9245.15142778582,200237.6218500401,21.65866329114268
2020-01-11,9317.99711633185,201815.36209046998,21.65866329114268
2020-01-12,7576.179238329722,164089.91515632925,21.65866329114268
2020-01-13,6853.7388103244275,148442.8211782536,21.65866329114268
2020-01-14,6793.253110901372,147132.78178052037,21.65866329114268
2020-01-15,6785.355671992399,146961.73381032856,21.65866329114268
2020-01-16,7024.167398130985,152134.07657674077,21.65866329114268
2020-01-17,9088.292288763734,196840.26257382217,21.65866329114268
2020-01-18,9199.726873786401,199253.78672981635,21.65866329114268
2020-01-19,7510.106091445638,162658.85911538068,21.65866329114268
2020-01-20,6823.435894227872,147786.50052177854,21.65866329114268
2020-01-21,6680.560031695789,144692.00032276456,21.65866329114268
2020-01-22,6775.195728840743,146741.68302254967,21.65866329114268
2020-01-23,7051.1720303650245,152718.96081359897,21.65866329114268
2020-01-24,9081.180329047329,196686.2270329844,21.65866329114268
2020-01-25,9243.424266259972,200200.2138401023,21.65866329114268
2020-01-26,7555.531927196944,163642.72199663694,21.65866329114268
2020-01-27,6840.982348575067,148166.53326843784,21.65866329114268
2020-01-28,6688.252919455468,144858.617988488,21.65866329114268
2020-01-29,6841.295944784924,148173.32534315652,21.65866329114268
2020-01-30,7282.896851091424,157737.81068191244,21.65866329114268
2020-01-31,9208.976796521982,199454.12769181537,21.65866329114268
2020-02-01,9239.409225348734,200113.25342090565,21.65866329114268
2020-02-02,7673.199372733527,166191.24157984267,21.65866329114268
2020-02-03,6854.797373254771,148465.74823633436,21.65866329114268
2020-02-04,6719.01411990571,145524.86447147114,21.65866329114268
2020-02-05,6850.105812212135,148364.13529540208,21.65866329114268
2020-02-06,7339.275791041974,158958.90315901296,21.65866329114268
2020-02-07,9237.851654402768,200079.5185162349,21.65866329114268
2020-02-08,9316.214683268434,201776.75697291046,21.65866329114268
2020-02-09,7602.246525144824,164654.49774437118,21.65866329114268
2020-02-10,6807.103299808654,147432.7583585819,21.65866329114268
2020-02-11,6687.517938293549,144842.69927897668,21.65866329114268
2020-02-12,6876.548807910683,148936.85523564607,21.65866329114268
2020-02-13,7359.510150074078,159397.1523282014,21.65866329114268
2020-02-14,9173.142072184331,198677.99546325527,21.65866329114268
2020-02-15,9187.440854452694,198987.6879738791,21.65866329114268
2020-02-16,7544.380117772909,163401.1887112348,21.65866329114268
2020-02-17,6789.05004946854,147041.74908815467,21.65866329114268
2020-02-18,6655.993012899037,144159.91153457854,21.65866329114268
2020-02-19,6809.372062305986,147481.8967215992,21.65866329114268
2020-02-20,7320.991308190386,158562.88570147773,21.65866329114268
2020-02-21,9158.24711541597,198355.39060987323,21.65866329114268
2020-02-22,9237.781194898527,200077.9924575569,21.65866329114268
2020-02-23,7547.203211293078,163462.33314322756,21.65866329114268
2020-02-24,6791.57863241653,147096.5148148289,21.65866329114268
2020-02-25,6661.348784729641,144275.91039332177,21.65866329114268
2020-02-26,6797.5628306707495,147226.1245498845,21.65866329114268
2020-02-27,7329.12536638923,158739.05852919706,21.65866329114268
2020-02-28,9156.938741228152,198327.05297388043,21.65866329114268
2020-02-29,9252.641891001243,200399.8552707176,21.65866329114268
2020-03-01,7652.013198103131,165732.3773570956,21.65866329114268
2020-03-02,6817.421070808121,147656.22748657447,21.65866329114268
2020-03-03,6673.233646162315,144533.32060535398,21.65866329114268
2020-03-04,6798.952129512039,147256.21490569875,21.65866329114268
2020-03-05,7331.717038864846,158795.19069070736,21.65866329114268
2020-03-06,9223.322999964537,199764.8472816839,21.65866329114268
2020-03-07,9338.548467746374,202260.4768909351,21.65866329114268
2020-03-08,7670.151159633994,166125.22135868025,21.65866329114268
2020-03-09,6824.278255725656,147804.74494582845,21.65866329114268
2020-03-10,6660.240461760018,144251.90559930488,21.65866329114268
2020-03-11,6806.969225800124,147429.85449477506,21.65866329114268
2020-03-12,7338.30089347338,158937.7881808314,21.65866329114268
2020-03-13,9190.685750741435,199057.96809001162,21.65866329114268
2020-03-14,9238.473798255762,200092.99332046555,21.65866329114268
2020-03-15,7621.285921161001,165066.8656119523,21.65866329114268
