date,predicted_sales,predicted_revenue,avg_price
2019-10-31,6420.890467107329,139067.90465638548,21.65866329114268
2019-11-01,8592.289321984352,186097.50132493972,21.65866329114268
2019-11-02,8855.63928627949,191801.30952934254,21.65866329114268
2019-11-03,7399.9377876596445,160272.76091832353,21.65866329114268
2019-11-04,6688.706014748517,144868.43142687896,21.65866329114268
2019-11-05,6627.876975169128,143550.9557403054,21.65866329114268
2019-11-06,6511.5627871114675,141031.74590518186,21.65866329114268
2019-11-07,6870.462704172248,148805.03836402035,21.65866329114268
2019-11-08,8951.123736046937,193869.37507639572,21.65866329114268
2019-11-09,8831.32244412485,191274.63923281134,21.65866329114268
2019-11-10,7554.909771183251,163629.2469290218,21.65866329114268
2019-11-11,6847.767946514208,148313.50024943077,21.65866329114268
2019-11-12,6620.585672849028,143393.0358784004,21.65866329114268
2019-11-13,6689.007590086758,144874.96314558684,21.65866329114268
2019-11-14,7096.622941288365,153703.3667895633,21.65866329114268
2019-11-15,8984.304766441206,194588.03184135837,21.65866329114268
2019-11-16,9103.760467474438,197175.28264824452,21.65866329114268
2019-11-17,7432.639195306336,160981.02969568962,21.65866329114268
2019-11-18,6896.8828507312155,149377.26342244365,21.65866329114268
2019-11-19,6713.345308086353,145402.08558501484,21.65866329114268
2019-11-20,6759.23896416795,146396.08082928567,21.65866329114268
2019-11-21,7071.4228439761355,153157.5663669737,21.65866329114268
2019-11-22,8964.426576759392,194157.49682420248,21.65866329114268
2019-11-23,9094.504085119843,196974.80177953228,21.65866329114268
2019-11-24,7536.704813612655,163234.95188277075,21.65866329114268
2019-11-25,6793.3388268772,147134.63827397948,21.65866329114268
2019-11-26,6597.952314627224,142902.82759352654,21.65866329114268
2019-11-27,6661.80468381352,144285.78455807426,21.65866329114268
2019-11-28,7010.363525861839,151835.10315514938,21.65866329114268
2019-11-29,9018.27956893847,195323.88064902966,21.65866329114268
